cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
O0462,0,1,0,411,1,411
O0519,0,0,0,0,0,0
O0548,0,0,0,0,0,0
O0689,0,1,0,54,1,54
O0757,0,1,0,753,1,753
O0834,0,0,0,0,0,0
O0944,0,0,0,0,0,0
O0980,0,0,0,0,0,0
O0991,0,0,0,0,0,0
O1267,0,0,0,0,0,0
O1283,0,0,0,0,0,0
O1296,0,0,0,0,0,0
O1304,0,0,0,0,0,0
O1380,0,0,0,0,0,0
O1493,1,0,60,0,1,60
O1514,0,0,0,0,0,0
O1665,0,0,0,0,0,0
O1922,0,0,0,0,0,0
O2633,0,0,0,0,0,0
O2711,0,0,0,0,0,0
O2919,0,0,0,0,0,0
O2965,0,0,0,0,0,0
O2986,0,0,0,0,0,0
O3020,0,0,0,0,0,0
O3271,0,0,0,0,0,0
O3482,0,0,0,0,0,0
O3593,0,0,0,0,0,0
O3872,0,0,0,0,0,0
O4351,0,0,0,0,0,0
O4725,0,0,0,0,0,0
O5424,0,0,0,0,0,0
O5501,1,0,381,0,1,381
O5665,0,0,0,0,0,0
O6034,0,1,0,147,1,147
O6222,0,0,0,0,0,0
O6310,0,1,0,81,1,81
O6319,1,0,106,0,1,106
O6364,0,0,0,0,0,0
O6429,0,0,0,0,0,0
O6701,0,0,0,0,0,0
O6714,0,0,0,0,0,0
O6779,0,0,0,0,0,0
O6789,0,0,0,0,0,0
O6822,0,0,0,0,0,0
O6826,0,0,0,0,0,0
O6832,0,0,0,0,0,0
O6866,0,0,0,0,0,0
O6868,0,0,0,0,0,0
O7024,1,1,163,38,1,201
O7159,0,1,0,81,1,81
O7193,1,0,617,0,1,617
O7206,0,1,0,114,1,114
N8757,1,0,57,0,1,57
N9050,0,0,0,0,0,0
N9164,0,1,0,47,1,47
N9213,0,1,0,56,1,56
N9874,0,0,0,0,0,0
N9886,0,0,0,0,0,0
N9892,0,0,0,0,0,0
N9942,0,0,0,0,0,0
O0102,0,0,0,0,0,0
O0260,0,0,0,0,0,0
O0482,0,0,0,0,0,0
O1058,0,0,0,0,0,0
O1085,1,0,291,0,1,291
O1118,1,0,207,0,1,207
O1362,0,0,0,0,0,0
O1368,0,1,0,195,1,195
O1389,0,0,0,0,0,0
O1424,0,0,0,0,0,0
O1610,0,0,0,0,0,0
O1638,0,0,0,0,0,0
O2537,0,1,0,416,1,416
O2559,0,0,0,0,0,0
O2696,0,1,0,365,1,365
O2698,0,0,0,0,0,0
O2704,1,0,641,0,1,641
O2813,0,0,0,0,0,0
O2938,0,1,0,113,1,113
O3000,0,1,0,135,1,135
O3074,0,0,0,0,0,0
O3086,1,0,55,0,1,55
O3277,0,0,0,0,0,0
O4035,1,0,79,0,1,79
O4309,0,0,0,0,0,0
O4311,0,0,0,0,0,0
O4482,0,0,0,0,0,0
O4505,0,1,0,137,1,137
O4640,0,0,0,0,0,0
O4714,0,0,0,0,0,0
O4724,0,0,0,0,0,0
O4908,0,0,0,0,0,0
O5900,0,0,0,0,0,0
O6014,0,0,0,0,0,0
O6019,0,0,0,0,0,0
O6022,0,1,0,160,1,160
O6025,0,0,0,0,0,0
O6314,0,1,0,60,1,60
O6416,0,0,0,0,0,0
O6507,1,0,714,0,1,714
O6550,0,0,0,0,0,0
O6590,1,0,143,0,1,143
O6761,0,0,0,0,0,0
O6783,0,0,0,0,0,0
O6833,0,0,0,0,0,0
O7192,1,0,66,0,1,66
N9078,0,0,0,0,0,0
N9256,0,0,0,0,0,0
N9455,0,0,0,0,0,0
N9469,0,0,0,0,0,0
N9618,0,1,0,185,1,185
N9654,0,1,0,502,1,502
N9667,0,0,0,0,0,0
N9715,0,1,0,213,1,213
N9770,0,0,0,0,0,0
N9839,0,0,0,0,0,0
N9913,0,0,0,0,0,0
N9963,0,0,0,0,0,0
O0539,0,0,0,0,0,0
O0542,0,0,0,0,0,0
O0560,0,0,0,0,0,0
O0570,0,0,0,0,0,0
O0581,0,0,0,0,0,0
O0588,0,0,0,0,0,0
O0786,0,1,0,129,1,129
O0894,0,0,0,0,0,0
O1065,0,0,0,0,0,0
O1100,0,1,0,635,1,635
O1117,0,1,0,119,1,119
O1376,0,0,0,0,0,0
O1621,0,0,0,0,0,0
O1636,0,0,0,0,0,0
O1975,0,0,0,0,0,0
O1992,0,0,0,0,0,0
O2065,1,0,35,0,1,35
O2395,0,0,0,0,0,0
O2550,0,0,0,0,0,0
O2645,0,0,0,0,0,0
O2689,0,0,0,0,0,0
O2825,0,0,0,0,0,0
O2838,0,0,0,0,0,0
O2902,0,0,0,0,0,0
O3252,0,0,0,0,0,0
O3461,0,0,0,0,0,0
O3513,0,1,0,350,1,350
O3561,0,0,0,0,0,0
O3649,0,0,0,0,0,0
O4069,0,0,0,0,0,0
O4502,0,1,0,184,1,184
O4557,0,0,0,0,0,0
O4565,1,0,247,0,1,247
O4723,0,0,0,0,0,0
O4895,0,0,0,0,0,0
O5580,1,0,437,0,1,437
O5702,0,0,0,0,0,0
O5946,1,1,44,109,1,153
O6094,1,1,643,384,1,1027
O6201,0,0,0,0,0,0
O6344,0,0,0,0,0,0
O6351,0,0,0,0,0,0
O6366,1,0,104,0,1,104
O6377,0,0,0,0,0,0
O6378,0,0,0,0,0,0
O6396,0,0,0,0,0,0
O6625,0,0,0,0,0,0
O6656,0,0,0,0,0,0
O6748,0,0,0,0,0,0
O6780,0,0,0,0,0,0
O6807,0,0,0,0,0,0
O7203,0,1,0,607,1,607
N8766,0,1,0,67,1,67
N9071,0,1,0,78,1,78
N9134,0,0,0,0,0,0
N9161,0,0,0,0,0,0
N9181,0,0,0,0,0,0
N9211,1,1,82,63,1,145
N9349,0,0,0,0,0,0
N9432,0,0,0,0,0,0
N9510,0,0,0,0,0,0
N9554,0,0,0,0,0,0
N9717,0,0,0,0,0,0
N9771,0,0,0,0,0,0
N9876,0,0,0,0,0,0
N9951,0,0,0,0,0,0
O0076,1,0,103,0,1,103
O0356,1,0,157,0,1,157
O0357,1,0,85,0,1,85
O0464,0,0,0,0,0,0
O0722,0,1,0,177,1,177
O0760,0,1,0,27,1,27
O0941,0,0,0,0,0,0
O1115,0,1,0,245,1,245
O1611,0,0,0,0,0,0
O1618,0,0,0,0,0,0
O1928,0,1,0,357,1,357
O1989,0,0,0,0,0,0
O2144,0,0,0,0,0,0
O2165,1,0,62,0,1,62
O2245,1,0,157,0,1,157
O2249,0,0,0,0,0,0
O2394,0,0,0,0,0,0
O2695,0,0,0,0,0,0
O2715,0,0,0,0,0,0
O2871,0,0,0,0,0,0
O2907,0,0,0,0,0,0
O3809,0,0,0,0,0,0
O4380,0,0,0,0,0,0
O4500,0,1,0,202,1,202
O4704,0,0,0,0,0,0
O4856,0,0,0,0,0,0
O4875,0,0,0,0,0,0
O4902,0,0,0,0,0,0
O4925,0,0,0,0,0,0
O5381,0,0,0,0,0,0
O6017,0,0,0,0,0,0
O6046,0,0,0,0,0,0
O6095,1,1,97,266,1,363
O6382,0,0,0,0,0,0
O6423,0,0,0,0,0,0
